Substance Name	CASRN	DTXSID	Chemical Parameters fu	fu Source	Chemical Parameters Clint ul/min/10^6 cells	Clint Source	"Chemical Parameters pKa, Acidic  "	Chemical Parameters LogP log10 	Chemical Parameters MW g/mol 	"Chemical Parameters HL log10, atm-m3/mole "	"Chemical Parameters pKa, Basic  "
Beclomethasone	4419-39-0	DTXSID5040750	0.13	OPERA	34.43499308	OPERA	8.689	1.98	408.916	-10.13	6.546
Ketanserin	74050-98-9	DTXSID3023188	0.052	OPERA	46.88133821	OPERA	8.597	3.282	395.427	-7.616	5.826
MK-571 sodium	115103-85-0	DTXSID5046358	0.014	in vitro	0.641209577	in vitro	3.763	4.992	537.069	-8.265	
N-Benzyladenine	1214-39-7	DTXSID7032630	0.439	in vitro	2.488857318	in vitro		1.567	225.249	-9.227	8.165
Trelanserin	189003-92-7	DTXSID2047355	0.044	in vitro	0.100693167	in vitro	4.461	2.729	465.543	-7.918	
Cariporide mesylate	159138-81-5	DTXSID3047344	0.62	in vitro	6.180164001	in vitro	6.564	0.573	379.452	-10.108	4.687
Cupferron	135-20-6	DTXSID1020352	0.353	OPERA	3.88E-06	OPERA	4.854	0.983	155.155	-7.245	
Febuxostat	144060-53-7	DTXSID8048650	0.22	OPERA	0.001479108	OPERA	3.442	2.821	316.375	-9.263	
Tebuconazole	107534-96-3	DTXSID9032113	0.066	OPERA	5.272298614	OPERA	11.538	3.7	307.818	-6.509	4.886
Tolterodine	124937-51-5	DTXSID3023687	0.042	in vitro	0.78704579	in vitro	12.155	5.915	325.488	-9.016	8.809
Eticlopride hydrochloride	97612-24-3	DTXSID4045769	0.194	in vitro	5.345643594	in vitro	6.906	0.621	377.306	-9.634	9.67
Celecoxib	169590-42-5	DTXSID0022777	0.03	in vitro	0.015739829	in vitro	12.968	3.566	381.372	-8.288	0.867
Trifluoperazine dihydrochloride	440-17-5	DTXSID1045085	0.00759	OPERA	17.49846689	OPERA		1.103	480.417	-8.039	4.656
Benomyl	17804-35-2	DTXSID5023900	0.00348	in vitro	55.97576015	in vitro	6.818	2.119	290.318	-11.307	6.152
N-Dodecanoyl-N-methylglycine	97-78-9	DTXSID7042011	0.164	in vitro	2.60E-05	in vitro	5.218	3.792	271.396	-8.242	
Posaconazole	171228-49-2	DTXSID6049066	0.02	in vitro	14.85935642	in vitro		5.358	700.777	-7.877	5.959
Tazobactam sodium	89785-84-2	DTXSID8046030	0.77	in vitro	0.002930893	in vitro	3.466	0.08	322.273	-9.753	4.714
"1,3-Propanediol, bis(4-aminobenzoate)"	57609-64-0	DTXSID3044960	0.286	OPERA	26.85344446	OPERA		3.101	314.336	-10.924	2.938
6-Propyl-2-thiouracil	51-52-5	DTXSID5021209	0.334	OPERA	1.315224832	OPERA		-0.386	170.232	-7.572	-0.259
Flecainide	54143-55-4	DTXSID8023054	0.5	OPERA	0.003380648	OPERA	7.872	3.781	414.343	-8.065	8.517
Lauryl gallate	1166-52-5	DTXSID0048189	0.218	in vitro	0.20558906	in vitro	6.838	4.638	338.439	-10.038	4.23
8-Hydroxyquinoline	148-24-3	DTXSID5020730	0.119	in vitro	69.3425806	in vitro	9.323	2.019	145.158	-6.843	4.879
Albendazole	54965-21-8	DTXSID0022563	0.3	in vitro	4.008667176	in vitro	10.581	3.068	265.331	-8.143	
Spiperone	749-02-0	DTXSID5045205	0.052	OPERA	10.11579454	OPERA	7.382	3.033	395.47	-8.199	5.613
5-Aminosalicylic acid	89-57-6	DTXSID5024506	0.47	in vitro	0.111943788	in vitro	3.82	0.81	153.135	-8.399	
Romazarit	109543-76-2	DTXSID6046216	0.019	in vitro	0.000235505	in vitro	5.353	3.015	309.745	-8.291	4.437
Quinocide	525-61-1	DTXSID5045706	0.363	in vitro	11.0153931	in vitro	13.567	3.232	259.347	-8.528	9.613
SSR161421	NOCAS_47374	DTXSID5047374	0.014	in vitro	5.701642723	in vitro	10.909	4.023	408.452	-10.009	4.113
CP-283097	171866-31-2	DTXSID8047264	0.331	in vitro	31.6227766	in vitro	10.937	1.903	359.391	-10.702	11.319
Halometasone hydrate	1310709-74-0	DTXSID2046460	0.259	in vitro	29.17427014	in vitro	7.921	1.526	462.912	-10.949	5.058
