CASRN	DTXSID	ChemicalName	Species	LogP	Clint	fu	pka_Donor	pka_Accept	HL	MW	pkidney	pliver	pbody	Kgut2pu
104-40-5	DTXSID5033836	4-Nonylphenol	human	5.686413045	-0.217139135	0.011501517	10.85302365	NA	-4.975968617	220.1827154	28835.34773	36223.34787	15512.89374	19534.3421
104-43-8	DTXSID1022508	4-Dodecylphenol	human	7.96245673	1.048075576	0.378273069	10.85302365	NA	-5.23020709	262.2296656	5395359.23	6771888.512	2902037.011	3663854.818
131-55-5	DTXSID5041306	"2,2',4,4'-Tetrahydroxybenzophenone"	human	2.880407989	1.347898012	0.015733335	7.951402769	NA	-10.1453656	246.0528234	106.1259317	145.9780087	58.72063218	52.92489505
131-56-6	DTXSID8022406	"2,4-Dihydroxybenzophenone"	human	2.599612552	0.414131224	0.032346975	7.931403746	NA	-8.858983551	214.0629942	56.71456861	76.32584227	30.97712627	28.43319749
140-66-9	DTXSID9022360	"4-(1,1,3,3-Tetramethylbutyl)phenol"	human	4.866462879	1.343011328	0.020740444	10.2501688	NA	-5.104480791	206.1670653	12441.38225	12019.88505	6014.772825	8394.341666
1478-61-1	DTXSID7037717	Bisphenol AF	human	4.096265529	-0.14799951	0.025284253	8.220865456	NA	-4.955059838	336.0584989	742.2517112	945.6887194	400.6531705	483.9470471
17924-92-4	DTXSID0021460	Zearalenone	human	3.754056243	-0.02064782	0.037833957	8.772725113	NA	-10.61695481	318.1467238	389.846825	497.5118535	210.5189962	251.4407118
446-72-0	DTXSID5022308	Genistein	human	2.962408473	1.243355946	0.019200825	9.336981735	NA	-9.734954534	270.0528234	125.7203664	170.0497894	69.29281511	67.6702848
474-86-2	DTXSID7047433	Equilin	human	3.583764763	1.345702275	0.043661263	12.69725737	NA	-7.758644819	268.1463299	284.8888328	364.2064642	153.9195324	182.0949288
50-27-1	DTXSID9022366	Estriol	human	2.6351427	1.152863662	0.150306484	10.70020715	NA	-8.303176929	288.1725446	43.13868635	54.38374104	23.11912107	25.94570936
50-28-2	DTXSID0020573	17beta-Estradiol	human	3.907586042	1.396422708	0.029083488	11.66456647	NA	-5.06917184	272.17763	728.545144	852.5030267	379.5421442	465.0580541
5153-25-3	DTXSID4022525	2-Ethylhexylparaben	human	4.10038528	1.088697814	0.016974805	8.079469952	NA	-8.983809547	250.1568946	755.678188	970.8225013	408.8991071	484.600322
521-18-6	DTXSID9022364	5alpha-Dihydrotestosterone	human	3.569338915	1.449264109	0.265372468	10.46844774	NA	-9.023605228	290.2245802	235.1793776	293.5728621	126.1981239	157.2565162
53-16-7	DTXSID4022367	Estrone	human	3.270351845	1.406251459	0.047661332	11.79385401	NA	-8.955792323	270.1619799	374.4916293	385.4781268	182.4511896	231.9537354
56-53-1	DTXSID3020465	Diethylstilbestrol	human	4.808947858	1.034716173	0.022751515	10.54209963	NA	-9.745565832	268.1463299	6151.919443	6705.904407	3122.004743	4053.400833
57-63-6	DTXSID5020576	17alpha-Ethinylestradiol	human	3.666882687	1.050285387	0.026775524	12.18559065	NA	-7.038979591	296.17763	769.1724643	803.5993237	378.5700501	481.2552602
57-91-0	DTXSID8022377	17alpha-Estradiol	human	3.907586042	1.396422708	0.029083488	11.66456647	NA	-5.06917184	272.17763	565.515173	721.4337611	305.4284873	366.804063
58-18-4	DTXSID1033664	17-Methyltestosterone	human	3.434827775	1.386993455	0.498223427	10.29811848	NA	-8.312530386	302.2245802	171.8480829	213.510737	92.0794222	115.2018014
599-64-4	DTXSID3022536	4-Cumylphenol	human	3.928096308	-0.440665331	0.066608408	10.01357482	NA	-6.581428094	212.1201151	544.6928955	686.6268307	293.1725203	361.650411
68-22-4	DTXSID9023380	Norethindrone	human	2.947441743	1.469999211	0.161573005	10.32048747	NA	-7.532237169	298.1932801	71.32090582	89.61996054	38.26783083	45.06010649
72-33-3	DTXSID0020814	Mestranol	human	4.048108178	1.217367404	0.024676736	11.62044379	NA	-6.683842112	310.1932801	764.055909	973.3751351	412.5235649	498.4423121
72-43-5	DTXSID9020827	Methoxychlor	human	5.093236325	2.055397002	0.00404518	NA	NA	-6.542970529	344.0137628	7932.087205	10068.29665	4279.262548	5262.08251
77-40-7	DTXSID4022442	Bisphenol B	human	3.767451214	1.462816201	0.031637546	9.485479483	NA	-6.566572942	242.1306798	422.0491756	540.0785349	228.12934	271.0177203
789-02-6	DTXSID6022345	"o,p'-DDT"	human	6.914252018	1.193508537	0.06621912	NA	NA	-4.835725238	351.9146887	483117.0521	606357.7859	259854.4396	328061.3638
80-05-7	DTXSID7020182	Bisphenol A	human	3.350755138	1.24378945	0.107294988	9.461215544	NA	-6.900619624	228.1150298	687.6696515	632.2758524	325.461431	468.106252
80-09-1	DTXSID3022409	"4,4'-Sulfonyldiphenol"	human	-0.102822901	1.470950728	0.03950329	7.041665147	NA	-10.44480603	250.0299798	14.86059441	20.28612587	7.254562994	4.305742732
80-46-6	DTXSID8021771	4-(2-Methylbutan-2-yl)phenol	human	3.547222827	1.272194724	0.011787379	10.41490558	NA	-6.20494862	164.1201151	493.2407454	590.1517981	256.7817843	285.1963968
94-26-8	DTXSID3020209	Butylparaben	human	3.281158184	1.529937616	0.072782226	8.294322984	NA	-9.534380902	194.0942943	222.6296407	245.0449933	111.5951475	136.7425889
98-54-4	DTXSID1020221	4-tert-Butylphenol	human	3.321086953	1.397971197	0.094767168	10.43823865	NA	-6.066436928	150.1044651	238.9389359	264.1426125	121.1864486	151.1820257
