CASRN	ACEA_ER_80hr   	ATG_Ahr_CIS_up   	ATG_GRE_CIS_up   	OT_ER_ERaERb_0480   	OT_ER_ERaERb_1440   	OT_ER_ERbERb_0480   	OT_ER_ERbERb_1440   	TOX21_AhR_LUC_Agonist   	TOX21_CAR_Agonist   	TOX21_ERb_BLA_Antagonist_ratio   	TOX21_GR_BLA_Agonist_ratio   	TOX21_GR_BLA_Antagonist_ratio   	TOX21_TR_LUC_GH3_Agonist   	TOX21_TR_LUC_GH3_Antagonist   	TOX21_TSHR_Agonist_ratio   	TOX21_TSHR_Antagonist_ratio   
4419-39-0											0.033					
74050-98-9																
115103-85-0								9.8				13.533		23.03		
1214-39-7								40.569	70.963							
189003-92-7										75.91						
135-20-6		3.132														
159138-81-5																
144060-53-7									0.048	30.619				17.927		
107534-96-3						30.265	33.582			35.922		32.747		63.185	78.282	
124937-51-5														40.678		
97612-24-3														12.445		
169590-42-5				6.491	16.457	11.379	16.673				68.556			24.865	41.875	
440-17-5										21.344				12.033		41.072
17804-35-2								49.653								
97-78-9										43.366		61.799				
171228-49-2										9.573				23.934		27.216
89785-84-2										3.456		0.065				
57609-64-0									49.354	41.007				59.838		
51-52-5	0.628															
54143-55-4														36.507		
1166-52-5				15.44	12.421		12.479			7.293	29.605	7.82		2.611		
148-24-3					35.398					14.996	16.703			3.344		
54965-21-8								2.443	4.744					0.352		
749-02-0										3.292				24.387		
89-57-6																
109543-76-2																
525-61-1								15.8						18.386		
NOCAS_47374		0.379						0.797	20.147		51.252					
171866-31-2		32.459						32.095	11.002							
215297-27-1										59.317				76.414		
1310709-74-0											0.00411			33.157		
76738-62-0																
1882-26-4																
110235-47-7		21.445						12.719	37.942	79.548		50.654		64.836		
93957-55-2								37.255				18.35		39.307		
267243-28-7										5.7		2.775		5.391		
510-74-7										8.045				15.844		
104-32-5																
444731-52-6										22.1				13.956		
1062243-51-9					6.644		5.09			0.657		0.763		0.29		12.542
89197-32-0														45.162		
58493-49-5														8.343		
115-79-7																
98319-26-7														72.664		
15599-52-7								13.33		25.528		26.749		18.132		
89365-50-4														9		
17692-51-2										22.982						
264618-44-2														11.194		
2062-77-3										20.588				25.086		
18694-40-1										30.921						
130-26-7										7.645		11.578		22.12		
1668-54-8																
115964-29-9														21.063		
150408-73-4								10.82						12.129		
37686-84-3														22.126		
60607-34-3								17.741		23.369				20.744		
19562-30-2																
76824-35-6																
109826-26-8										18.127		34.506		24.482	33.381	
606143-52-6														12.545		
94-07-5																
773-76-2								4.285		2.948		6.654		5.394		
203942-49-8										81.312	25.111			21.369		78.504
78491-02-8																
27199-40-2								8.827	16.032	23.477		7.133				
159701-44-7								18.292						30.485		
26833-87-4												0.097		0.029		
1068967-96-3								17.362		29.256						
93957-54-1		55.168						65.143		29.91		2.124		45.267		
103420-77-5								13.95		3.682				6.132		
106516-24-9										10.318		21.888		5.186		38.369
501027-49-2										34.153				48.264		
54-85-3																
553-53-7								52.37								
372965-00-9																
NOCAS_47385		12.371			38.437		56.993	65.12						65.835		
645-35-2																
63612-50-0														20.635		
36734-19-7		5.068						3.385		69.091				44.322		
2492-26-4		4.175														
130-16-5								5.581		21.025				8.449		
521-74-4								4.179		5.308		10.402		13.933		
3055-99-0														8.615		
179324-69-7										0.00441				0.011		
555-60-2										0.905		74.859		0.622		
164656-23-9											27.45			3.444		
55779-06-1																
23422-53-9		81.791														
10605-21-7		14.055						30.464						6.208		
20559-55-1								3.44						0.432		
149-30-4		1.664						31.611		57.299						
NOCAS_47291																
17781-31-6										36.648		46.507		59.349	41.366	
1180-71-8											7.504					
5331-43-1																
72-80-0												18.952		1.5		
89419-40-9								35.868		20.48		31.969		8.484		
54301-15-4											8.629			1.268		
84625-61-6										2.426				3.545		
50892-23-4										33.237						
137-09-7		16.82														
101526-62-9																
