CASRN	ACC1	ACC2	ACC3	ACC4	ACC5	ACC6	ACC7	ACC8	ACC9	ACC10	ACC11	ACC12	ACC13	ACC14	ACC15	ACC16
104-40-5		4.149878992	1.460655862				13.61642467	15.47210534	7.768292318	6.301402633	9.268298219	7.539329998				8.374288778
104-43-8	0.150583487	5.99E-02	2.32E-02	52.10369005	6.247931555		1.938220629	1.956001469	0.717935645	0.995555062	0.459561902	0.5517946	0.235206638	0.213659476	2.85190565	0.630969144
131-55-5	0.148181557	0.279474309	0.211338299	8.08E-02	1.45E-02	0.106530714	1.895055846	2.647511031	0.772660926	1.513665966	0.684461255	1.149126511	1.615019649	1.571766539	11.13748006	0.917286359
131-56-6	2.04088141	0.864466963	0.593868141	3.727643338	0.630471468	1.464529124	6.571526183	6.80762818	1.0232945	1.868564581	1.848659271	1.90935792	3.774927381	5.034914529	23.69160546	4.3732191
140-66-9	7.54E-02	1.426046539	0.505264861	2.557230533	1.687915107	5.964745209	1.544824495	2.850094572	0.400214587	0.906231246	0.284666582	0.642248336	0.137444025	0.340907119	2.501265187	0.463750633
1478-61-1	1.72E-02	0.283813165	4.42E-02	1.83E-02	1.12E-02	2.55E-02	0.150961073	0.151055664	2.60E-02	2.32E-02	2.73E-02	2.74E-02	4.23E-02	6.27E-02	0.571874204	3.28E-02
17924-92-4	1.72E-03	3.84E-04	5.37E-04	3.92E-03	6.36E-04		5.93E-02	9.11E-02	3.40E-03	1.19E-02	1.01E-02	2.91E-03	2.17E-02	7.83E-02	5.13E-02	9.90E-05
446-72-0	2.23E-02	6.21E-02	1.18E-02	9.60E-03	3.61E-03	3.89E-02	0.452838388	0.707851358	0.107176379	0.213661003	2.81E-02	3.10E-02	0.734950192	1.105755044	7.405627493	0.110768124
474-86-2	5.20E-06	5.29E-02	4.96E-02	1.69E-03	2.69E-05		1.62E-03	1.34E-04	4.04E-03	1.16E-05	1.15E-02	1.48E-05	4.56E-03	1.03E-02	1.45E-03	1.71E-07
50-27-1	6.03E-05	6.35E-03	3.69E-02	3.12E-03	1.96E-04	1.84E-02	2.88E-03	2.11E-03	1.91E-04	1.85E-04	1.95E-04	2.01E-05	0.190695163	2.54E-04	1.50E-03	4.77E-04
50-28-2	5.15E-03	0.534436434	3.10E-05	4.62E-05	6.21E-06	4.20E-04	4.52E-03	1.15E-02	4.41E-03	5.38E-03	2.51E-03	3.57E-03	1.19E-07	2.76E-05	2.54E-05	6.54E-05
5153-25-3	0.186563017	8.212565283	3.464326291	1.161032785	0.369716648	23.98978491	2.854340551	2.033045581	0.749830898	0.981647501	0.284710328	1.069017338	0.151062519	0.251475919	27.78163839	0.379205431
521-18-6	1.47E-02	0.951403648	1.722972301		2.09E-02		18.27015865	18.8005665	4.83132606	6.208585315	2.959228903	2.461171104	1.422485095	2.737668019	0.24444813	3.03E-02
53-16-7	4.12E-03	1.34E-04	1.73E-05	9.05E-03	4.60E-04	3.51E-03	3.02E-02	3.56E-02	1.58E-02	1.91E-02	2.08E-02	1.91E-02	1.06E-04	1.91E-05	2.51E-04	2.33E-04
56-53-1	7.29E-05	8.47E-03	4.91E-04	2.56E-04	2.73E-05	4.54E-04	3.64E-03	4.39E-03	3.61E-03	3.22E-03	2.03E-03	2.85E-03	3.28E-04	2.57E-06	2.13E-04	6.39E-06
57-63-6	1.07E-04	8.17E-04	4.89E-05	5.60E-05	1.98E-05	4.84E-04	3.16E-03	7.38E-03	2.11E-03	3.62E-03	7.51E-03	9.14E-03	3.11E-06	2.37E-06	2.24E-04	2.07E-05
57-91-0	3.55E-05	8.85E-04	2.85E-05	2.14E-04	3.06E-05	2.54E-03	6.29E-03	8.63E-03	8.64E-03	5.72E-03	2.76E-03	3.50E-03	7.85E-06	1.69E-06	5.89E-04	8.36E-06
58-18-4	1.38E-02	2.23E-04	5.13E-04		3.77656645				17.3249125		9.455949284				4.879580495	3.31E-02
599-64-4	0.431827718	8.70E-02	0.116314594	0.689102556	0.120518292	0.678558726	1.693914151	2.300521096	0.692410874	0.719062489	0.779867063	0.925554214	0.365751444	0.512039859	5.012230387	0.34070761
68-22-4	1.82E-02	2.06E-03	8.01E-05	0.512635248	5.29E-02	1.120161494	6.890569752	10.64955431	5.36368809	6.61904819	8.713139948	10.5344028	0.146523622	0.322863776	0.146072187	4.57E-03
72-33-3	5.37E-06	5.98E-02	1.63E-03	6.69E-03	1.44E-05		0.104630356	0.42757405	0.239613167	0.388132153	0.961086475	1.533474811	2.61E-03	2.65E-02	2.35E-02	7.01E-04
72-43-5	2.347945369	0.791153692	0.676290431		3.407868441		5.530141122	4.013900325	2.31826251	2.525133077	2.289456539	2.82503378	1.893743062	2.338092084		4.820021385
77-40-7	0.120236405	7.81E-02	7.64E-02	0.143355748	9.98E-02	0.131342638	0.265479008	0.306355786	6.78E-02	6.41E-02	3.25E-02	4.52E-02	0.106984767	0.158426811		4.76E-02
789-02-6	8.50E-02	0.198209831	0.129315544			3.10E-02	2.070657982	3.11975146	0.894307532	1.512186032	1.941646965	2.040320683	1.56E-02	3.19E-02	1.071334082	0.507120163
80-05-7	0.107920626	3.30E-02	4.66E-02	0.19493151	0.156071668	9.18E-02	1.183816103	1.05053588	0.2915317	0.319665953	9.92E-02	0.128913317	0.34831655	0.377493633	1.388052111	0.174557144
80-09-1	0.960563835	0.668620407	0.565705822	11.58161154	1.574944605		21.98539095	31.08655451	9.989339948	15.81739849	16.39686135	19.81134697	38.53282316	16.06583071	5.031984845	0.870963071
80-46-6	1.934179932	0.6869839	1.123168875		43.95122553	23.5411743	2.461157369	10.31765584	0.811093128	1.815571861	0.445804757	1.853033011	0.280414827	0.769463468		13.7358882
94-26-8	1.785583917	1.005519113	1.060144912	20.75451474	2.117423992	0.735533982	6.420146523	4.157124966	1.058606353	1.480446223	1.57895076	2.104868925			20.60780037	2.556173713
98-54-4	6.489944573	0.857523092	1.618719887			33.62058896	22.55438185	32.52297444	11.99022659	9.690982722	7.987349613	6.997880438	11.84475025	9.636122341		
